TYPES,Field Label,Field Name,Field Type,HowMany,Required,Relationship,Default,Example
Users,,,,,,,,
,Email,,email,1,0,,,
,Phone,,phone,0,0,,,
,Website,,URL,1,0,,,
,Bio,,textarea,1,0,,,
,Picture,,image,1,0,,,
,Cover Photo,,image,1,0,,,
,Resources,,type reference,unlimited,0,Resources,,
,,,,,,,,
Officials,,,,,,,,
,Job Title,title,text,1,1,,,
,Office Phone,,phone,1,0,,,
,Office Email,,email,1,0,,,
,Social Media links,social_links,URL,unlimited,0,,,
,Party,party_affiliation,type reference,1,0,Parties,,
,City,,type reference,unlimited,1,Cities,,
,,,,,,,,
Cities,,,,,,,,
,Name,,text,1,1,,,
,Description,,textarea,1,0,,,
,Postal Address,,address,1,0,,,
,Picture,,image,1,0,,,
,Cover Photo,,image,1,0,,,
,Sponsors,,User Profile,unlimited,0,Users,,
,Website,,URL,3,0,,,
,Population,,integer,1,0,,,
,Altitude,,integer,1,0,,,
,County,,text,1,0,,,
,State,state_id,vocabulary reference,1,0,States,,
,Officials,,User Profile,unlimited,0,Users,,
,Land Area,,integer,1,0,,,
,Water Area,,integer,1,0,,,
,Total Area,,integer,1,0,,,
,Density,,integer,1,0,,,
,Timezone,,text,1,0,,,
,,,,,,,,
Rallies,,,,,,,,
,Title,,text,1,1,,,
,Description,,textarea,1,1,,,
,Media,,media,unlimited,0,,,
,Topics,,vocabulary reference,3,1,Topics,,
,Comments,,textarea,unlimited,0,,,
,,,,,,,,
Publication,,,,,,,,
,Title,,text,1,1,,,
,Description,,textarea,1,1,,,
,Relationships,,type reference,1,0,Officials,,
,Media,,media,3,0,,,
,Comments,,textarea,unlimited,0,,,
,,,,,,,,
Action Plan,,,,,,,,
,Title,,text,1,0,,,
,Recommendation,,textarea,1,0,,,
,Executive Summary,exe_summary,textarea,1,0,,,
,Analysis and Policy Alternatives / Proposal,analysis,textarea,1,0,,,
,Background / Legislative History / Problem Statement,background,textarea,1,0,,,
,CoAuthors,,User Account,unlimited,0,Users,,
,Pro Argument,,textarea,1,0,,,
,Con Argument,,textarea,1,0,,,
,Prequesites,,textarea,1,1,,,
,Timeline,,textarea,1,0,,,
,Rally,,type reference,1,0,Rallies,,
,,,,,,,,
Meetings,,,,,,,,
,Title,,text,,,,,
,Rally,,type reference,,,Rallies,,
,Meeting Type,,vocabulary reference,1,1,Meeting Types,,
,Speakers,,User Account,7,1,Users,,
,Moderators,,User Account,2,1,Users,,
,Sponsors,,User Account,unlimited,0,Users,,
,Postal Address,address,address,1,0,,,
,Rooms,,type reference,1,1,Rooms,,
,Start,,date time,1,1,,,
,End,,date time,1,1,,,
,Agenda JSON,,json,1,0,,,
,Duration,,integer,1,0,,,
,Privacy,,integer,1,0,,,
,,,,,,,,
Resources,,,,,,,,
,Title,,text,1,1,,,
,Description HTML,,textarea,1,1,,,
,Image,,Image,1,1,,,
,Postal Address,,text,1,0,,,
,Price (citizencoin),price_ccoin,integer,1,1,,,
,Resource Type,,vocabulary reference,unlimited,1,Resource Types,,
,,,,,,,,
Page,,,,,,,,
,Title,,text,1,1,,,
,Description HTML,,textarea,1,1,,,
,,,,,,,,
Invites,,,,,,,,
,Meeting,,type reference,1,1,Meetings,,
,User,,User Account,1,1,Users,,
,Invited By,,User Account,1,1,Users,,
,Status,,enum,1,1,,,"invited, rsvpd, attending, attended"
,,,,,,,,
,,,,,,,,
Subscriptions,,,,,,,,
,Subscriber,,User Account,1,1,Users,,
,Rally,,type reference,1,1,Rallies,,
,Meeting,,type reference,1,,Meetings,,
,Status,,enum,1,1,,,"""approved"", ""denied"", ""active"", ""seen"""
,,,,,,,,
Rooms,,,,,,,,
,Owner,author,User Account,,,Users,,
,Start,,date time,1,1,,,
,End,,date time,1,1,,,
,Rally,,type reference,,,Rallies,,
,Meeting,,type reference,,,Meetings,,
,Privacy,,enum,,,,,"public, invite-only, requests, "
,Status,,enum,,,,,"live, scheduled, ended"
,Chat Thread,,text,unlimited,0,,,
,Recording,,video,,,,,
,,,,,,,,
Attendees,,,,,,,,
,Room ID,,type reference,1,1,Rooms,,
,Display Name,,text,1,0,,,
,Display Bg,,image,1,0,,,
,Role,,enum,1,1,,,"viewer, presenter, admin, chat moderator"
,Stream,,text,1,,,,
,Is Muted,,boolean,1,,,,
,Sharing Video,,boolean,1,,,,
,Sharing Audio,,boolean,1,,,,
,Sharing Screen,,boolean,1,,,,
,Hand Raised,,boolean,1,,,,
,Is Typing,,boolean,1,,,,
,,,,,,,,
,,,,,,,,
Topics,,,,,,,,"(technology, agriculture, health care, ...)"
,Name,,text,,,,,
,Icon,,image,1,0,,,
,Photo,,image,1,0,,,
,,,,,,,,
Resource Types,,,,,,,,"(consulting, sales, labor, ....)"
,Name,,text,,,,,
,,,,,,,,
Meeting Types,,,,,,,,"(rally-2-discuss, rally-2-write, rally-2-move, city council meeting, hearing, ...)"
,Name,,text,,,,,
,,,,,,,,
States,,,,,,,,"(california, new york, arizona)"
,Name,,text,,,,,
,Website,,URL,1,0,,,
,Icon,,image,1,0,,,
,,,,,,,,
Parties,,,,,,,,"(democratic, republican, indedepent, liberaterian)"
,Name,,text,,,,,
,Logo,,image,1,0,,,
,Website,,URL,1,0,,,
,,,,,,,,
Stakeholders,,,,,,,,"(youth, elderly, mechanics, gardeners, police officers....)"
,Name,,text,,,,,
,Image,,image,1,0,,,
