,,,ROLES,,,,,,,,RULES,
,,,anonymous,authenticated,paid user,admin,city sponsor,city official,rally speaker,rally moderator,"1. ""Add Own"" would mean you own what you create
2. ""Any Others"" would mean you create on behalf of someone else",
Actions - Roles / URLs,,Ownership,,,,,,,,,URL Pattern,Alias URL
,,,,,,,,,,,,
Users,,,,,,,,,,,,
,View List,own,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/users,
,View List,others,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/users,
,View Profile,own,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/[uid],
,View Profile,others,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/[uid],
,Add,own,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/add,/register
,Add,others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/add,/admin/user/add
,Edit,own,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/[id]/edit,
,Edit,others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/[id]/edit,
,Delete,own ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/[id]/delete,
,Delete,others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/[id]/delete,
,Block,others,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/[id]/block,
,,,,,,,,,,,,
Cities,,,,,,,,,,,,
,View,own,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id],
,View,others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id],
,Add,own,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,/city/add,
,Add,others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/add,
,Edit,own,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,/city/[id]/edit,
,Edit,others,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,/city/[id]/edit,
,Delete,own ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id]/delete,
,Delete,others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id]/delete,
,Add Comment,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/city/[id]/comment/add,
,Edit Comment,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/city/[id]/comment/[id]/edit,
,Delete Comment,own,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/city/[id]/comment/[id]/delete,
,Sponsor,others,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/city/[id]/sponsor/add,
,Sponsor,others,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/city/[id]/sponsor/delete,
,,,,,,,,,,,,
Rallies,,,,,,,,,,,,
,View,own,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id],
,View,others,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id],
,Add,own,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,/rally/add,
,Add,others,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,/rally/add,
,Edit,own,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/edit,
,Edit,others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/edit,
,Delete,own ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/delete,
,Delete,others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/delete,
,Add Comment,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id]/comment/[id]/add,
,Edit Comment,own,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/rally/[id]/comment/[id]/edit,
,Delete Comment,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,/rally/[id]/comment/[id]/delete,
,Delete Comment,others,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,/rally/[id]/comment/[id]/delete,
,,,,,,,,,,,,
Officials,,,,,,,,,,,,
,View,own,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/official/[id],
,View,others,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/official/[id],
,Add,own,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/official/add,
,Add,others,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,/official/add,
,Edit,own,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/official/[id]/edit,
,Edit,others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/official/[id]/edit,
,Delete,own ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/official/[id]/delete,
,Delete,others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/official/[id]/delete,
,Add Comment,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/official/[id]/comment/[id]/add,
,Edit Comment,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/official/[id]/comment/[id]/edit,
,Delete Comment,own,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,/official/[id]/comment/[id]/delete,
,Delete Comment,others,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,/official/[id]/comment/[id]/delete,
,,,,,,,,,,,,
,,,,,,,,,,,,
Action Plans,,,,,,,,,,,,
