,,,ROLES,,,,,,,,,,RULES,,
,,,anonymous,authenticated,verified,paid user,admin,rally attendee,city sponsor,city official,rally speaker,rally moderator,"1. ""Add Own"" would mean you own what you create
2. ""Any Others"" would mean you create on behalf of someone else",,
,Name,Ownership,,,,,,,,,,,URL Pattern,Alias URL,
,,,,,,,,,,,,,,,
Users,,,,,,,,,,,,,,,
,View List,own,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/users,,
,View List,others,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/users,,
,View Profile,own,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/[uid],,
,View Profile,others,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/[uid],,
,Sign Up,own,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/add,,
,Edit User,own,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/[id]/edit,,
,Delete User,own ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/[id]/delete,,
,Block User,others,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/user/[id]/block,,
,,,,,,,,,,,,,,,
Cities,,,,,,,,,,,,,,,
,View,own,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id],,
,View,others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id],,
,Add,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/add,,
,Add,others,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/add,,
,Edit,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id]/edit,,
,Edit,others,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id]/edit,,
,Delete,own ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id]/delete,,
,Delete,others,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id]/delete,,
,Add Comment,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id]/comment/add,,
,Edit Comment,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id]/comment/[id]/edit,,
,Delete Comment,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id]/comment/[id]/delete,,
,Sponsor,own,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id]/sponsor/add,,
,Sponsor,others,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/city/[id]/sponsor/delete,,
,,,,,,,,,,,,,,,
Rallies,,,,,,,,,,,,,,,
,View,own,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id],,
,View,others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id],,
,Add,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/add,,
,Edit,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/edit,,
,Edit,others,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,/rally/[id]/edit,,
,Delete,own ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/delete,,
,Delete,others,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/delete,,
,Subscribe,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/subscribe,,
,Edit Subscribe,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/subscription/[id]/edit,,
,Delete Subscription,own,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/subscription/[id]/delete,,
,Add Comment,own,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,/rally/[id]/comment/[id]/add,,
,Edit Comment,own,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/comment/[id]/edit,,
,Delete Comment,own,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,/rally/[id]/comment/[id]/delete,,
,Delete Comment,others,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,/rally/[id]/comment/[id]/delete,,
,,,,,,,,,,,,,,,
Officials,,,,,,,,,,,,,,,
,View,own,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/official/[id],,
,View,others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,/official/[id],,
,Add,own,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,/official/add,,
,Add,others,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,/official/add,,
,Edit,own,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,/official/[id]/edit,,
,Edit,others,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,/official/[id]/edit,,
,Delete,own ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,/official/[id]/delete,,
,Delete,others,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,/official/[id]/delete,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Action Plans,,,,,,,,,,,,,,,
