TYPES,Field Label,Field Name,Field Type,,HowMany,Required,Relationship,Example,,
Users,,,,,,,,,,
,ID,,,ID (auto increment),1,1,Users,,,ID (auto increment)
,Email,,,email,1,0,,,,
,Phone,,,phone,0,0,,,,
,Website,,,URL,1,0,,,,
,Bio,,,textarea,1,0,,,,
,Picture,,,image,1,0,,,,
,Cover Photo,,,image,1,0,,,,
,Resources,,,type reference,unlimited,0,Resources,,,
,,,,,,,,,,
Officials,,,,,,,,,,
,Job Title,title,,text,1,1,,,,
,Office Phone,,,phone,1,0,,,,
,Office Email,,,email,1,0,,,,
,Social Media links,social_links,,URL,unlimited,0,,,,
,Party,party_affiliation,,vocabulary reference,1,0,Parties,,,
,City,,,type reference,unlimited,1,Cities,,,
,,,,,,,,,,
Cities,,,,,,,,,,
,Name,,Text,text,1,1,,,,
,Description,,TextArea,textarea,1,0,,,,
,Postal Address,,Address,address,1,0,,,,
,Picture,,Text,image,1,0,,,,
,Cover Photo,,Image,image,1,0,,,,
,Sponsors,,User (custom),User Account,unlimited,0,users,,,
,Website,,URL,URL,3,0,,,,
,Population,,Integer,ID (auto increment),1,0,,,,
,Altitude,,Integer,ID (auto increment),1,0,,,,
,County,,Text,ID (auto increment),1,0,,,,
,State,state_term_id,Vocabulary Reference,ID (auto increment),1,0,States,,,
,Officials,,User (custom),ID (auto increment),unlimited,0,Users,,,
,Land Area,,Integer,ID (auto increment),1,0,,,,
,Water Area,,Integer,ID (auto increment),1,0,,,,
,Total Area,,Integer,ID (auto increment),1,0,,,,
,Density,,Integer,ID (auto increment),1,0,,,,
,Timezone,,Text,ID (auto increment),1,0,,,,
,,,,,,,,,,
Rallies,,,,,,,,,,
,Title,,Text,ID (auto increment),1,1,,,,
,Description,desc,TextArea,ID (auto increment),1,1,,,,
,Media,field_media,Media,ID (auto increment),unlimited,0,,,,
,Topics,,Vocabulary Reference,ID (auto increment),3,1,Topics,,,
,Comments,field_comments,Comments,ID (auto increment),unlimited,0,,,,
,,,,,,,,,,
Publication,,,,,,,,,,
,Title,,Text,ID (auto increment),1,1,,,,
,Description,desc,TextArea,ID (auto increment),1,1,,,,
,Relationships,,Type Reference,ID (auto increment),1,0,Officials,,,
,Media,field_media,Media,ID (auto increment),3,0,,,,
,Comments,field_comments,Comments,ID (auto increment),unlimited,0,,,,
,,,,,,,,,,
Action Plan,,,,,,,,,,
,Title,,Text,ID (auto increment),1,0,,,,
,Recommendation,,TextArea,ID (auto increment),1,0,,,,
,Executive Summary,exe_summary,TextArea,ID (auto increment),1,0,,,,
,Analysis and Policy Alternatives / Proposal,analysis,TextArea,ID (auto increment),1,0,,,,
,Background / Legislative History / Problem Statement,background,TextArea,ID (auto increment),1,0,,,,
